date;steps_n;proteins_g;kcal_in;kcal_junk_in;kcal_out_training;sleep_hours;stress_rel;weight_kg;waist_cm
27/01/2026;12886;137;2308;482;189;6;1;85,51318326;100
26/01/2026;11762;116;2530;283;207;6;2;86,07499422;100,9802203
25/01/2026;9546;125;2357;32;94;6;10;85,65179654;100,9514678
24/01/2026;9141;97;2326;144;174;7;7;86,0353578;101,3152497
23/01/2026;11854;95;2298;412;140;9;9;85,22507953;100,3231518
22/01/2026;10709;124;1753;435;69;6;8;85,77766085;101,2582618
21/01/2026;11808;104;1901;65;165;8;4;84,97157477;100,4478155
20/01/2026;8787;139;1994;251;204;8;6;85,65067745;101,0490534
19/01/2026;14094;165;2251;25;115;9;3;84,80693732;100,7143528
18/01/2026;9161;182;2586;303;235;7;8;85,18839292;101,3785466
17/01/2026;11118;164;1751;61;231;6;9;84,72570078;100,8901527
16/01/2026;8959;174;2507;454;49;8;2;85,62378068;101,2240121
15/01/2026;12372;190;1972;239;43;9;5;84,92594796;100,502687
14/01/2026;13897;149;2031;429;13;8;1;85,77551143;100,6165591
13/01/2026;11638;128;2083;461;89;9;5;85,10269609;100,0350993
12/01/2026;11939;183;2004;244;136;7;5;85,22975053;100,7833376
11/01/2026;14171;163;2514;180;176;8;3;85,05416708;100,2271943
10/01/2026;9697;173;2391;190;279;8;7;85,15615785;100,82381
09/01/2026;9333;104;1766;151;103;8;2;84,90725372;99,94617042
08/01/2026;10040;172;2127;430;143;7;3;85,00472193;100,0458986
07/01/2026;11399;93;2614;28;286;6;10;84,15157288;99,23701133
06/01/2026;11234;184;2358;390;148;7;1;84,49292102;100,0793293
05/01/2026;10562;155;2111;172;266;9;1;84,39332079;99,16609325
04/01/2026;14121;185;2438;410;133;7;10;84,42459808;99,38418808
03/01/2026;8259;118;2583;261;72;9;3;84,32253934;98,87941838
02/01/2026;13349;171;1657;86;257;6;10;84,9573403;99,24679268
01/01/2026;8100;139;1713;103;30;6;1;84,44353958;98,45518544
31/12/2025;9184;137;2156;35;145;7;6;84,72471774;99,19251376
30/12/2025;11056;175;1871;286;120;6;4;84,33737431;98,33809877
29/12/2025;9609;178;2394;311;245;8;2;84,54944884;98,8638878
28/12/2025;12955;95;1767;38;272;8;1;83,57942944;98,0866915
27/12/2025;9914;185;1742;387;224;9;6;84,34124735;98,23795798
26/12/2025;12906;133;1841;66;28;7;3;83,89613085;97,94803911
25/12/2025;13764;191;1837;134;193;6;7;84,03589858;98,34076167
24/12/2025;10736;159;2586;429;239;9;7;83,3381232;97,95958575
23/12/2025;9949;166;1656;451;84;7;2;83,96227511;98,01505022
22/12/2025;9598;177;2040;333;144;9;7;83,03507528;97,59714679
21/12/2025;13221;140;2222;275;193;8;6;83,80275987;98,24925004
